turbine_id,issue_time_utc,baseline_source_time_utc,baseline_available_time_utc,baseline_prediction,baseline_status,availability_status
turbine_1,2026-01-10 12:00:00+00:00,2026-01-10 11:00:00+00:00,2026-01-10 12:00:00+00:00,0.18,available,assumed
turbine_2,2026-01-10 12:00:00+00:00,2026-01-10 11:00:00+00:00,2026-01-10 12:00:00+00:00,0.1666666666666666,available,assumed
turbine_1,2026-01-11 12:00:00+00:00,2026-01-11 11:00:00+00:00,2026-01-11 12:00:00+00:00,0.28,available,assumed
turbine_2,2026-01-11 12:00:00+00:00,2026-01-11 11:00:00+00:00,2026-01-11 12:00:00+00:00,0.2283333333333333,available,assumed
turbine_1,2026-01-12 12:00:00+00:00,2026-01-12 11:00:00+00:00,2026-01-12 12:00:00+00:00,0.1533333333333333,available,assumed
turbine_2,2026-01-12 12:00:00+00:00,2026-01-12 11:00:00+00:00,2026-01-12 12:00:00+00:00,0.1366666666666666,available,assumed
turbine_1,2026-01-13 12:00:00+00:00,2026-01-13 11:00:00+00:00,2026-01-13 12:00:00+00:00,0.99,available,assumed
turbine_2,2026-01-13 12:00:00+00:00,2026-01-13 11:00:00+00:00,2026-01-13 12:00:00+00:00,0.9883333333333334,available,assumed
turbine_1,2026-01-14 12:00:00+00:00,2026-01-14 11:00:00+00:00,2026-01-14 12:00:00+00:00,0.1149999999999999,available,assumed
turbine_2,2026-01-14 12:00:00+00:00,2026-01-14 11:00:00+00:00,2026-01-14 12:00:00+00:00,0.12,available,assumed
turbine_1,2026-01-15 12:00:00+00:00,2026-01-15 11:00:00+00:00,2026-01-15 12:00:00+00:00,0.04,available,assumed
turbine_2,2026-01-15 12:00:00+00:00,2026-01-15 11:00:00+00:00,2026-01-15 12:00:00+00:00,0.0483333333333333,available,assumed
turbine_1,2026-01-16 12:00:00+00:00,2026-01-16 11:00:00+00:00,2026-01-16 12:00:00+00:00,0.375,available,assumed
turbine_2,2026-01-16 12:00:00+00:00,2026-01-16 11:00:00+00:00,2026-01-16 12:00:00+00:00,0.455,available,assumed
turbine_1,2026-01-17 12:00:00+00:00,2026-01-17 11:00:00+00:00,2026-01-17 12:00:00+00:00,0.0333333333333333,available,assumed
turbine_2,2026-01-17 12:00:00+00:00,2026-01-17 11:00:00+00:00,2026-01-17 12:00:00+00:00,0.04,available,assumed
turbine_1,2026-01-18 12:00:00+00:00,2026-01-18 11:00:00+00:00,2026-01-18 12:00:00+00:00,0.1683333333333333,available,assumed
turbine_2,2026-01-18 12:00:00+00:00,2026-01-18 11:00:00+00:00,2026-01-18 12:00:00+00:00,0.1949999999999999,available,assumed
turbine_1,2026-01-19 12:00:00+00:00,2026-01-19 11:00:00+00:00,2026-01-19 12:00:00+00:00,0.2633333333333332,available,assumed
turbine_2,2026-01-19 12:00:00+00:00,2026-01-19 11:00:00+00:00,2026-01-19 12:00:00+00:00,0.1683333333333333,available,assumed
turbine_1,2026-01-20 12:00:00+00:00,2026-01-20 11:00:00+00:00,2026-01-20 12:00:00+00:00,0.0133333333333333,available,assumed
turbine_2,2026-01-20 12:00:00+00:00,2026-01-20 11:00:00+00:00,2026-01-20 12:00:00+00:00,0.0166666666666666,available,assumed
turbine_1,2026-01-21 12:00:00+00:00,2026-01-21 11:00:00+00:00,2026-01-21 12:00:00+00:00,0.9883333333333334,available,assumed
turbine_2,2026-01-21 12:00:00+00:00,2026-01-21 11:00:00+00:00,2026-01-21 12:00:00+00:00,0.985,available,assumed
turbine_1,2026-01-22 12:00:00+00:00,2026-01-22 11:00:00+00:00,2026-01-22 12:00:00+00:00,0.5083333333333333,available,assumed
turbine_2,2026-01-22 12:00:00+00:00,2026-01-22 11:00:00+00:00,2026-01-22 12:00:00+00:00,0.4949999999999999,available,assumed
turbine_1,2026-01-23 12:00:00+00:00,2026-01-23 11:00:00+00:00,2026-01-23 12:00:00+00:00,0.65,available,assumed
turbine_2,2026-01-23 12:00:00+00:00,2026-01-23 11:00:00+00:00,2026-01-23 12:00:00+00:00,0.6533333333333333,available,assumed
turbine_1,2026-01-24 12:00:00+00:00,2026-01-24 11:00:00+00:00,2026-01-24 12:00:00+00:00,0.9883333333333334,available,assumed
turbine_2,2026-01-24 12:00:00+00:00,2026-01-24 11:00:00+00:00,2026-01-24 12:00:00+00:00,0.985,available,assumed
turbine_1,2026-01-25 12:00:00+00:00,2026-01-25 11:00:00+00:00,2026-01-25 12:00:00+00:00,0.01,available,assumed
turbine_2,2026-01-25 12:00:00+00:00,2026-01-25 11:00:00+00:00,2026-01-25 12:00:00+00:00,0.01,available,assumed
turbine_1,2026-01-26 12:00:00+00:00,2026-01-26 11:00:00+00:00,2026-01-26 12:00:00+00:00,0.6133333333333332,available,assumed
turbine_2,2026-01-26 12:00:00+00:00,2026-01-26 11:00:00+00:00,2026-01-26 12:00:00+00:00,0.7016666666666665,available,assumed
turbine_1,2026-01-27 12:00:00+00:00,2026-01-27 11:00:00+00:00,2026-01-27 12:00:00+00:00,0.01,available,assumed
turbine_2,2026-01-27 12:00:00+00:00,2026-01-27 11:00:00+00:00,2026-01-27 12:00:00+00:00,0.01,available,assumed
turbine_1,2026-01-28 12:00:00+00:00,2026-01-28 11:00:00+00:00,2026-01-28 12:00:00+00:00,0.01,available,assumed
turbine_2,2026-01-28 12:00:00+00:00,2026-01-28 11:00:00+00:00,2026-01-28 12:00:00+00:00,0.125,available,assumed
turbine_1,2026-01-29 12:00:00+00:00,2026-01-29 11:00:00+00:00,2026-01-29 12:00:00+00:00,0.9366666666666666,available,assumed
turbine_2,2026-01-29 12:00:00+00:00,2026-01-29 11:00:00+00:00,2026-01-29 12:00:00+00:00,0.9616666666666668,available,assumed
turbine_1,2026-01-30 12:00:00+00:00,2026-01-30 11:00:00+00:00,2026-01-30 12:00:00+00:00,0.93,available,assumed
turbine_2,2026-01-30 12:00:00+00:00,2026-01-30 11:00:00+00:00,2026-01-30 12:00:00+00:00,0.9683333333333332,available,assumed
